Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,Location,HASC_2,CCN_2,CCA_2,TYPE_2,ENGTYPE_2,NL_NAME_2,VARNAME_2,@id,admin_leve,boundary,Patient name,source,source_dat,type,@relations
,,,,,clampToGround,-1,-1,-1,,,163,NGA,Nigeria,22,Kebbi,449,Aleiro,,0,,Local Authority,Local Authority,,,relation/3708134,8,administrative,Sabiyal,ehealthafrica.org,2013,boundary,
,,,,,clampToGround,-1,-1,-1,,,163,NGA,Nigeria,22,Kebbi,449,Aleiro,,0,,Local Authority,Local Authority,,,relation/3708043,8,administrative,Gulmare,ehealthafrica.org,2013,boundary,
,,,,,clampToGround,-1,-1,-1,,,163,NGA,Nigeria,22,Kebbi,449,Aleiro,,0,,Local Authority,Local Authority,,,relation/3708077,8,administrative,Kashin Zama,ehealthafrica.org,2013,boundary,
,,,,,clampToGround,-1,-1,-1,,,163,NGA,Nigeria,22,Kebbi,449,Aleiro,,0,,Local Authority,Local Authority,,,relation/3708010,8,administrative,Danwarai,ehealthafrica.org,2013,boundary,
,,,,,clampToGround,-1,-1,-1,,,163,NGA,Nigeria,22,Kebbi,449,Aleiro,,0,,Local Authority,Local Authority,,,relation/3707959,8,administrative,Aliero S Fada I,ehealthafrica.org,2013,boundary,
,,,,,clampToGround,-1,-1,-1,,,163,NGA,Nigeria,22,Kebbi,449,Aleiro,,0,,Local Authority,Local Authority,,,relation/3707960,8,administrative,Aliero S Fada Ii,ehealthafrica.org,2013,boundary,
,,,,,clampToGround,-1,-1,-1,,,163,NGA,Nigeria,22,Kebbi,449,Aleiro,,0,,Local Authority,Local Authority,,,relation/3708061,8,administrative,Jega Kokani,ehealthafrica.org,2013,boundary,
,,,,,clampToGround,-1,-1,-1,,,163,NGA,Nigeria,22,Kebbi,449,Aleiro,,0,,Local Authority,Local Authority,,,relation/3708063,8,administrative,Jega Magaji 'B',ehealthafrica.org,2013,boundary,
,,,,,clampToGround,-1,-1,-1,,,163,NGA,Nigeria,22,Kebbi,449,Aleiro,,0,,Local Authority,Local Authority,,,relation/3708064,8,administrative,Jiga Birni,ehealthafrica.org,2013,boundary,
,,,,,clampToGround,-1,-1,-1,,,163,NGA,Nigeria,22,Kebbi,449,Aleiro,,0,,Local Authority,Local Authority,,,relation/3708065,8,administrative,Jiga Makera,ehealthafrica.org,2013,boundary,
,,,,,clampToGround,-1,-1,-1,,,163,NGA,Nigeria,22,Kebbi,449,Aleiro,,0,,Local Authority,Local Authority,,,relation/3708128,8,administrative,Rafin Bauna,ehealthafrica.org,2013,boundary,
,,,,,clampToGround,-1,-1,-1,,,163,NGA,Nigeria,22,Kebbi,449,Aleiro,,0,,Local Authority,Local Authority,,,relation/3708082,8,administrative,Kimba,ehealthafrica.org,2013,boundary,
,,,,,clampToGround,-1,-1,-1,,,163,NGA,Nigeria,22,Kebbi,449,Aleiro,,0,,Local Authority,Local Authority,,,relation/3707958,8,administrative,Aliero Dangaladima II,ehealthafrica.org,2013,boundary,
,,,,,clampToGround,-1,-1,-1,,,163,NGA,Nigeria,22,Kebbi,449,Aleiro,,0,,Local Authority,Local Authority,,,relation/3707956,8,administrative,Alelu,ehealthafrica.org,2013,boundary,
,,,,,clampToGround,-1,-1,-1,,,163,NGA,Nigeria,22,Kebbi,449,Aleiro,,0,,Local Authority,Local Authority,,,relation/3707957,8,administrative,Aliero Dangaladima I,ehealthafrica.org,2013,boundary,
,,,,,clampToGround,-1,-1,-1,,,163,NGA,Nigeria,22,Kebbi,449,Aleiro,,0,,Local Authority,Local Authority,,,relation/3708060,8,administrative,Jandutsi Birnin Malam,ehealthafrica.org,2013,boundary,
,,,,,clampToGround,-1,-1,-1,,,163,NGA,Nigeria,22,Kebbi,449,Aleiro,,0,,Local Authority,Local Authority,,,relation/3707572,8,administrative,Sabon Birni,ehealthafrica.org,2013,boundary,
